naziv	datum formiranja	mesto formiranja	odlikovanja
Prva dalmatinska proleterska udarna brigada	6. septembar 1942.	Dobro, kod Livna	ONH, ONO, OPZ i OBJ
Druga dalmatinska proleterska udarna brigada	2. oktobar 1942.	Uništa, kod B. Grahova	ONH, ONO, OPZ i OBJ
Treća dalmatinska udarna brigada	12. novembar 1942.	Vrba, kod Muća	ONH, ONO i OBJ
Četvrta dalmatinska brigada	6. januar 1943.	Šošići, na Bikovu	OZN i OBJ
Peta dalmatinska brigada	3. februar 1943.	okolina Bosanskog Grahova	OZN i OBJ
Šesta dalmatinska (bukovička) brigada	31. avgust 1943.	Dalmatinska Bukovica	OZN i OBJ
Sedma dalmatinska udarna brigada	12. septembar 1943.	Karin	OZN i OBJ
Osma dalmatinska (šibenska) brigada	10. septembar 1943.	Bogdanovići, kod Šibenika	OZN i OBJ
Deveta dalmatinska (trogirska) brigada	12. septembar 1943.	Seget Donji, kod Trogira	OZN i OBJ
Deseta dalmatinska (cetinska) brigada	14. septembar 1943.	Dugopolje, kod Sinja	OZN i OBJ
Jedanaesta dalmatinska udarna brigada	2. oktobar 1943.	Kozica, na Biokovu	OZN i OBJ
Dvanaesta dalmatinska brigada	21. septembar 1943.	Nerežišće, na Braču	OZN i OBJ
Trinaesta dalmatinska (južnodalmatinska) brigada	21. septembar 1943.	Pelješac	OZN i OBJ
Četrnaesta dalmatinska (bukovička) brigada	28. jun 1944.	Biovičino selo, kod Bukovice	OZN i OBJ
